genre,1917,1918,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Action,0,0,0,0,0,0,0,0,1,2,0,3,0,5,1,3,4,1,1,1,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,4,8,3,6,11,9,1,5,6,6,6,7,15,12,17,22,17,18,27,33,29,30,45,40,42,56,46,56,51,48,53,50,61,56,67,74,54,64,84,84,94,81,97,109,121,106,122,153,150,152,168,187,198,200,233,223,207,235,248,286,286,110,9
Adult Cast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,3,2,2,3,2,1,2,2,2,5,9,8,4,5,4,6,5,5,2,8,12,4,7,7,6,10,12,28,15,19,14,20,18,19,14,30,21,22,23,31,26,28,28,26,42,42,25,1
Adventure,0,0,0,0,0,0,2,1,0,1,2,3,1,4,4,3,2,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,2,1,0,2,7,6,10,8,12,7,11,5,6,9,10,9,11,15,11,23,33,28,30,31,30,30,29,37,35,37,49,51,46,52,38,48,52,59,69,57,86,59,84,81,86,84,75,99,91,80,89,92,90,93,92,111,124,145,162,151,155,140,133,161,190,202,68,2
Anthropomorphic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,0,3,1,0,0,1,2,2,1,1,7,3,4,8,1,2,2,3,6,5,4,4,8,7,7,10,3,10,8,8,4,12,13,10,14,28,34,46,39,53,40,63,59,68,71,86,66,50,38,46,53,16,0
Avant Garde,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,6,7,1,2,3,2,3,2,11,5,4,5,8,0,2,2,3,3,2,7,4,8,14,6,14,9,9,9,2,4,4,8,8,3,5,9,13,10,8,22,23,17,28,22,21,19,27,35,42,34,36,40,45,43,41,34,58,28,39,38,36,39,2,0
Award Winning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,3,1,1,1,2,1,1,1,0,2,1,0,2,1,1,1,1,2,2,1,2,2,2,2,2,4,2,4,11,4,7,4,10,5,9,8,6,5,7,5,7,9,9,10,8,9,6,3,11,7,6,12,7,7,3,0,0
Boys Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,1,0,2,0,6,3,4,1,1,1,2,1,3,0,4,7,6,7,7,2,8,3,5,2,7,2,8,5,10,5,11,10,3,14,11,5,0
CGDCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,8,6,8,8,10,12,19,10,15,15,20,17,22,10,11,15,4,8,3,0
Childcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,2,1,1,0,1,0,0,0,3,1,4,6,3,1,2,0,5,3,3,1,2,4,5,6,5,2,0
